id,company_rating,company_location,total_fleet_count,iata_approved,company_loaction
3888,100%,Isle of Man,1.0,f,na
46728,100%,US,1.0,f,UK
34618,38%,Isle of Man,1.0,f,UK
28619,100%,Bosnia and Herzegovina,1.0,f,na
8240,,Chile,1.0,t,na
16813,100%,Kiribati,2.0,f,na
2859,90%,Bahrain,1.0,f,na
33237,,Nicaragua,1.0,f,na
30052,100%,Turkmenistan,1.0,f,na
43711,100%,Rwanda,1.0,f,na
14574,100%,,1.0,f,na
36935,,Niue,1.0,t,na
17077,,,1.0,f,na
28484,33%,Sao Tome and Principe,1.0,t,na
40075,93%,Denmark,2.0,t,na
19811,90%,Nicaragua,21.0,t,na
1337,0%,Micronesia,1.0,f,na
16846,,Lebanon,1.0,f,na
22049,,Djibouti,1.0,f,na
33906,80%,Marshall Islands,1.0,f,na
14122,100%,Malta,1.0,t,na
42226,100%,Rwanda,2.0,t,na
38865,100%,,2.0,t,na
12594,,,1.0,t,na
42127,,Chile,1.0,t,na
12819,,,1.0,f,na
12322,,Ghana,1.0,t,na
10973,,Rwanda,1.0,f,na
23917,,Guinea,1.0,f,na
32178,,Niue,4.0,t,na
5332,82%,,5.0,t,na
9830,100%,Barbados,3.0,t,na
18007,,Russian Federation,1.0,f,na
41662,,,1.0,t,na
43024,,Croatia,1.0,t,na
23356,100%,Netherlands,1.0,f,na
16042,0%,Rwanda,2.0,f,na
18420,,Wallis and Futuna,1.0,t,na
28637,,Chad,1.0,f,na
33035,,Gibraltar,1.0,t,na
37247,100%,Tanzania,3.0,f,na
47759,,,1.0,f,na
37293,92%,Russian Federation,15.0,f,na
9865,,Lebanon,1.0,t,na
14918,100%,Jersey,1.0,f,na
38552,100%,Montserrat,1.0,f,na
27510,,Kenya,1.0,t,na
25573,,Reunion,1.0,f,na
3983,,Guinea,1.0,f,na
41510,100%,Gambia,1.0,f,na
16449,,Tonga,1.0,t,na
26524,100%,Guinea,2.0,t,na
46308,100%,,1.0,f,na
